comment_id,score,keyword
4150466386492758,3.37,语气
4134562722333319,3.26,粉底
4135584894854933,2.05,怕
4134480358958034,3.0,扑
4134901680385312,-1.46,可怕
4143674785253701,3.78,变成
4135590528110471,1.07,答应
4126504147287871,1.42,视频
4126228359034098,2.81,皮肤过敏
4126644573251338,2.22,种草
4134436238532465,3.24,锅包肉
4131958696658897,2.12,回去
4132806327601002,1.06,痘痘
4126613958580330,1.97,赵梓良
4125874049943627,3.66,博主
4136135552464211,3.09,评论
4134579566242555,2.56,佳
4126560753549622,3.73,遮瑕
4126228414247969,1.12,
4137047003779911,1.92,香水
4131204880589798,1.89,
4128330086766920,4.05,化妆品
4135884338934270,0.01,散粉
4126148201606486,2.33,爱
4125890868158207,1.53,都会
4126880267041081,1.57,厉害
4136085712409202,0.73,点点
4126180237734276,1.37,
4135728215058467,1.17,店铺
4127668636638050,1.2,学会
4126569406312242,1.1,客气
4132018570485472,1.65,系
4129002807439694,1.93,米妮
4127691186348167,3.51,班主任
4127020332329887,1.57,
4150461021786605,3.86,角质
4127728078443950,2.46,地方
4125905498899513,1.76,"二哈,二哈"
4126150181012425,1.61,保湿
4145460715355312,1.58,烂
4135526195380517,0.15,不识
4154171270298148,1.25,笑
4128739783275067,1.97,大航
4127001181116685,2.67,化妆
4130413582132519,1.38,私信
4125822165783821,1.14,很弱
4135593270977420,2.43,男生
4125932799378935,3.77,芋头
4127627066790723,1.32,凉快
4134880302954638,0.48,出汗
4131215604395908,1.44,哆
4127388709368991,1.21,面试
4135630897913585,3.66,优越感
4127380958663241,1.92,抱抱
4128327037379759,3.95,黄色
4135585155139367,4.78,时候
4134640530937625,1.3,心
4134889118676779,2.31,乳
4127626245582383,3.33,能养
4135665983939534,2.81,紫蒙
4127660483411513,1.52,好厉害
4135627400151574,1.84,
4136322664900265,3.16,以后
4135666025069496,1.66,好呀
4135946767288647,1.51,粉
4134048295523751,0.02,没有
4135717564985811,1.54,防晒
4126298626263748,2.21,需要
4129098097859644,2.06,厉害
4125954048139166,1.18,就行了
4144933532732336,1.03,班主任
4126131285918454,3.17,爱
4125814775769484,3.03,肯定
4134880629175385,1.88,出油
4137523884711573,1.16,喵喵
4135593828625103,2.16,破皮
4132342089540241,2.65,王岳鹏
4136060281676121,4.32,严重
4126566663891027,2.71,满
4134873750479692,3.54,医院
4135602998432844,1.12,加油
4130198729531580,1.86,班主任
4127626064410197,2.12,粉霜
4136322106517937,3.12,脸
4178645432434328,0.34,超棒
4137525595402611,2.33,笑
4128657162759216,2.35,修复
4125826821405128,1.9,笑
4126835971736659,0.89,班主任
4127588534729524,1.52,"就是因为,才,的"
4125916411739556,2.04,上面
4125915510562322,1.71,太
4135595859137736,3.8,抓狂
4136429125261625,1.01,良心
4127152968697512,1.58,妆
4126507385883145,1.85,
4126287473319667,2.76,心
4158110547816771,1.8,琪琪
4135686116439640,2.17,林禧大
4136108532598076,0.72,遮瑕
4126968523313326,1.6,
4136066564728905,1.54,
4137771122058349,2.24,谢谢
4126922068072038,3.46,走
4126650042381362,3.05,心
4131959704106300,1.51,怼
4137519425375498,1.84,
4126109098908865,3.56,爱
4130093465242599,2.27,防晒
4127018294049535,1.65,棒棒
4126189994313845,1.29,
4135868111844172,2.75,赞
4134224862652667,1.05,江湖
4135638393149708,0.73,何用
4150453736312845,3.33,话题
4127681806920711,2.06,码
4138176442492689,1.04,睨
4135594504915824,1.57,骷髏
4127728112710603,1.79,薄荷绿
4136971473529018,2.88,楠
4128331936541424,2.28,黄色
4134815311200114,1.66,
4135526292628455,1.72,改名字
4145141876854260,1.33,白宇赤
4125813949790235,3.86,摊
4142074872346001,0.0,眼睛
4127645614616244,1.65,陳
4126534065270385,2.78,使用
4127654694971775,0.81,
4135598807580467,1.84,孙慧娟
4136488469868909,2.86,方式
4126904434767401,1.42,宁死不屈
4146830511785283,0.34,
4127493906956327,0.05,堪比
4127645077408296,1.61,超级
4150454025895655,3.43,不信
4135927305459946,0.35,笑
4125863177877316,0.01,转发
4150451018277406,1.21,皮肤
4126216015418147,3.18,偷笑
4188794850818805,1.2,两双
4188304381409249,0.16,
4188195010358960,2.11,买到
4188178455404278,2.28,说
4188795148805331,1.28,码
4188185246324374,1.83,
4188192670256971,2.09,一眼
4188187104277531,3.08,发售
4188172328213443,1.21,买到
4188245300111821,1.64,需要
4188795068373224,3.04,码
4188794955485745,3.88,码
4188170624830370,1.99,
4126234910398504,3.67,很酷
4126232469210890,3.33,努力
4126310991168815,2.73,写
4127159435647993,1.59,
4126473449020476,0.96,嗯嗯
4126320626217262,1.16,是不是
4126201201450989,4.72,喜欢
4126307086891764,2.44,努力
4126473809345038,1.47,
4126219585069870,1.25,不错
4126320093060495,2.67,易燃
4126310508549017,1.13,哈哈
4126240090156684,0.76,真好
4126584535675325,0.8,
4126218565933129,2.93,面罩
4139279154289829,3.67,卢雨潇
4126217555147072,1.18,好的
4126217046958480,4.48,成绩
4126459443935824,1.5,记录
4126234969214183,2.81,活出
4126232226571803,1.17,曲
4126472648053293,2.99,做
4126498073916255,2.52,无与伦比
4126230648749259,1.9,
4130766062894060,2.41,舔
4126554680108365,2.49,成
4126440515872437,1.28,包
4126263293399793,0.98,讧
4126215269070064,1.12,烟火
4126473936198996,3.95,转发
4126221849808409,3.69,总会
4126231626866466,1.56,
4126219827865068,1.64,下辈子
4126418667474831,1.24,
4126312040315038,2.07,冰炎
4126478905817133,4.37,长大
4126220977325916,3.15,有点
4126460573265147,1.67,依然
4126275771494771,1.31,微笑
4126327864915404,2.88,沿途
4126457582357274,1.53,成绩
4126273683322699,1.89,情深
4126512426567727,1.17,媒体
4126237276018976,2.64,广告
4126228246276199,4.5,喜欢
4126235372363641,4.72,喜欢
4126467019382757,3.73,及时行乐
4126309841879218,1.07,旅游
4126266683285429,3.82,喜欢
4126478579528776,4.72,成
4126466742309163,3.78,觉得
4162766685775339,1.56,眼睛
4126219362520727,1.92,想想
4128103640826841,3.94,撒
4132807532257804,0.74,真的
4126460153865918,3.67,独自
4126457201055878,1.62,
4126505070687676,1.34,
4126477044173548,3.32,孩子
4126426779609196,3.2,生活
4126464376587912,1.74,
4126220880470016,3.89,现实
4126203352616543,3.93,样子
4126458765114926,2.28,哇噻
4126469040672759,2.81,我也是诶
4126258725484529,1.16,孩子
4126627606858681,1.63,视频
4127008574832838,2.17,摊
4126316645068092,1.97,成绩
4129820965169949,1.51,样子
4126206225595204,3.91,转发
4126218758377398,0.33,王几
4126681691721026,1.08,所谓
4126461600259737,2.63,成
4126317929090648,0.34,
4126230112436586,1.02,学
4126468520687543,2.83,悠闲地
4126225410189739,1.24,喜欢
4129711820844953,2.91,成
4126209392592478,2.02,嘿嘿
4126804849961052,1.23,帅
4126229038297494,1.62,感兴趣
4126466872935773,1.05,想要
4126244297728347,2.33,大概
4126210071950780,3.78,乐意
4126571843423182,0.61,变成
4126459075323870,1.83,要求
4126463034162486,1.42,正确
4126505678137927,1.85,
4126364619617434,-2.5,不是吧
4126331996771501,1.41,做
4126474283649900,2.3,经验
4137056147812568,2.68,成为
4126225435883001,2.18,以后
4126848365052146,3.27,生活
4126320529677430,1.33,
4126574288407024,1.33,手工
4126323469325363,3.33,颜值
4126318281112813,0.71,
4126215877212043,0.93,唉
4126306516146538,4.72,成
4126296428768420,1.91,
4126468554876269,1.08,成
4126400766537127,2.44,帐
4126466574344121,1.27,时间
4126570186319497,3.12,寻找
4126276334045856,1.57,看上去
4126467513945078,1.8,褪去
4126453211361287,0.22,温饱
4126228950286514,1.75,
4126325901950140,3.3,学会
4126486820868630,1.5,琉小沫
4126473407574191,4.72,喜欢
4126203541738243,1.77,
4126239284933397,1.94,爱
4126539215554734,2.74,广告
4126271195471795,2.27,成
4126227398793998,0.27,污
4126205286060496,1.12,
4126472715703754,1.05,
4126208452690661,0.69,无事
4126462975430486,0.7,
4126233681917479,3.19,"哈喽,这里"
4126471137595890,1.32,反面教材
4126307195475050,1.34,自闭症
4126458630348950,0.7,
4126305571834202,1.96,黑线
4129011741137020,1.43,看过
4127003969812845,1.3,
4126229399481034,1.14,说
4126204539322485,1.67,
4130073264932248,-1.73,委屈
4126469129111403,3.08,真棒
4126232696439293,3.18,头像
4126700939567054,2.24,评论
4126307220666447,0.98,不错
4126310848164131,3.09,过去
4126469606639792,1.86,
4126958436513453,2.93,仔细
4126462770552950,2.86,真棒
4126237796960630,2.83,下去
4126202308455188,3.55,理念
4127013944066584,3.66,广告
4126226727236406,1.42,想
4126284898317348,1.51,可爱
4126276111710364,1.92,爽
4126247485911056,3.66,开心
4126598967939825,1.18,做
4126311511536236,3.42,爱
4126329370413621,0.92,接地气
4126458849385870,2.05,先
4126318293705841,1.27,心理
4126228950986779,1.04,不想
4126235070335469,1.1,飞机
4126316624383530,1.31,广告
4126213721506335,1.17,羡慕
4126637450334797,1.39,偷笑
4126210336957958,3.8,广告
4126460153221787,3.84,其实
4126237104966329,4.72,做
4130275045194052,3.78,意义
4126226996223187,1.25,
4126230594209664,1.42,
4126236638671254,-2.5,可惜
4126933513765933,3.33,实现
4126476997307303,1.33,
4131563962471303,4.75,成
4126202156971447,1.43,
4126295677725463,2.69,帐
4126230918179581,0.89,
4126501848843714,1.16,摊
4126226828136871,2.44,读书
4126846285678318,1.64,做
4126223665972009,4.72,喜欢
4126500057590389,3.89,想要
4126559524829568,1.57,
4126473142706063,1.32,
4126477815588295,1.07,转发
4126206892525598,1.64,
4126237108261482,3.84,成
4126275553237735,3.16,凳子
4126470366231919,4.46,长大
4126309368649546,1.64,做
4126470005176782,-3.25,抽风
4126225997264389,1.24,
4126499097541606,1.62,"哈哈,哈哈,哈哈"
4126230414867705,1.31,里面
4126222415726896,3.46,妈
4126227885705340,2.41,姑娘
4126496290784030,1.72,道理
4126462141181274,1.38,加油
4126233614680945,1.18,做
4126407296250082,3.26,没
4126204673568527,3.88,战士
4137100209103188,4.0,唠叨
