word,value
着慌,-1.6666666666666667
手忙脚乱,-5.0
仓卒从事,-2.7777777777777777
临阵磨枪,-1.6666666666666667
谤毁,-2.7777777777777777
半途而废,-2.7777777777777777
弊病,-3.888888888888889
草率,-2.7777777777777777
迟钝,-2.7777777777777777
居心不良,-3.888888888888889
苛求,-1.6666666666666667
昏天暗地,-2.7777777777777777
日月无光,-5.0
人人得而诛之,-5.0
大材小用,-2.7777777777777777
窃据要津,-2.7777777777777777
呼风唤雨,-1.6666666666666667
瞒天昧地,-3.888888888888889
欺人以方,-2.7777777777777777
贪财好贿,-3.888888888888889
擅自为谋,-3.888888888888889
植党营私,-3.888888888888889
草间求活,-2.7777777777777777
墨迹未干,-2.7777777777777777
肥马轻裘,-1.6666666666666667
锦衣玉食,-2.7777777777777777
钟鸣鼎食,-3.888888888888889
画饼充饥,-1.6666666666666667
脆而不坚,-2.7777777777777777
生灵涂炭,-5.0
以管窥天,-2.7777777777777777
多此一举,-1.6666666666666667
颠来倒去,-1.6666666666666667
再三再四,-2.7777777777777777
风流罪过,-2.7777777777777777
不见经传,-0.5555555555555556
看人行事,-1.6666666666666667
以水救水,-2.7777777777777777
本性难移,-2.7777777777777777
鱼龙曼衍,-2.7777777777777777
一误再误,-3.888888888888889
论甘忌辛,-2.7777777777777777
舞文弄墨,-2.7777777777777777
蹈人旧辙,-2.7777777777777777
泥古非今,-2.7777777777777777
千头百绪,-3.888888888888889
一塌胡涂,-3.888888888888889
长他人志气，灭自己威风,-1.6666666666666667
